store_name,city,category,product_name,brand,price,quantity,unit,image_url,product_url,scraped_at
Chase Up,Hyderabad,atta,Shahi Nimko Khatta Meetha Rs.200,Shahi,185.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286683.jpg,,2026-03-09T03:01:53.658876
Chase Up,Hyderabad,atta,Lattafa Pure Musk Edp 100Ml,Lattafa,3499.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206642.jpg,,2026-03-09T03:01:53.658876
Chase Up,Hyderabad,atta,Chaseup Bay Leaf (Tez Patta) 25Gm,Chase Up Originals,25.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287362.jpg,,2026-03-09T03:01:53.658876
Chase Up,Hyderabad,atta,Lattafa Yara Bodyspray 200Ml,Lattafa,669.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206711.jpg,,2026-03-09T03:01:53.658876
Chase Up,Hyderabad,baby care,Mothercare Soft & Fresh Baby Powder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213606.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Aloe Vera Baby Wipes 80Pcs,Mothercare,309.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210916.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Baby Powder 90Gm,Mothercare,225.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184613.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Go Rash Talcum Babypowder 150Gm,Mothercare,375.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210645.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Natural & Mild Babypowder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184611.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Zozo Baby Bath & Shower Gel 215Ml,Mothercare,459.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000637885.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Soft & Fresh Baby Powder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213607.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Go Rash Talcum Babypowder 250Gm,Mothercare,455.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210646.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Go Rash Baby Rash Cream 65Gm,Mothercare,315.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210638.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Canbebe Primary Care Baby Wipes 56Pcs,Canbebe,345.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000205493.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Natural & Mild Babypowder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184612.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Natural & Mild Babypowder 385Gm,Mothercare,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184610.jpg,,2026-03-09T03:14:55.184943
Chase Up,Hyderabad,baby care,Mothercare Soft & Fresh Baby Powder 385Gm,Mothercare,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213608.jpg,,2026-03-09T03:14:55.185568
Chase Up,Hyderabad,beef,Pk Beef Seekh Kabab 18Pcs,Pk,1052.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296111.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Chapli Kabab 1050Gm,Pk,1342.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290629.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Knorr Spicy Beef Noodles 110Gm   ,Knorr,150.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008221594.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Kofta 500Gm,Pk,811.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Chapli Kabab 1050Gm,Pk,1417.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290629-189.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Kofta 500Gm,Pk,886.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635-189.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Seekh Kabab 18Pcs,Pk,1127.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296111-189.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,beef,Pk Beef Shami Kabab 17Pcs,Pk,1063.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296107-189.jpg,,2026-03-09T03:10:06.192130
Chase Up,Hyderabad,biscuits,Pf Chocolate Sandwich Biscuitsnack Pack Rs.20,Peek Freans,19.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000294917.jpg,,2026-03-09T03:04:54.764110
Chase Up,Hyderabad,body wash,Lux Soft Rose Body Wash 190Ml,Lux,449.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008126504.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Soft Rose Body Wash 550Ml   ,BATH CARE,502.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158373.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Magical Orchid Body Wash 550Ml   ,BATH CARE,504.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158377.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Esfolio Avocado Body Wash 500Ml   ,Esfolio,1399.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008275976.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Esfolio Aloe Vera Soothing Body Wash 500Ml   ,Esfolio,1449.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008275974.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Dove Sensitive Skin  Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151782.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Dove Go Fresh Fresh Touch Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151783.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Peachy Glow Body Wash 450Ml   ,Lux,999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008182067.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Dove Go Fresh Revive Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151786.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Dove Deeply Nourshing Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151785.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Dove Gentle Exfoliating Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151784.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Velvet Touch Body Wash 250Ml,Lux,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000185484.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Magic Spell Body Wash 250Ml,Lux,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000185483.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Hydrating Glow Body Wash 190Ml,Lux,449.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008126505.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Nexton 3In1 Baby Hair & Body Wash 500Ml,Nexton,1139.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000676283.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Fresh Aloe Body Wash 250Ml   ,Lux,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158374.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Soft Touch Body Wash 250Ml,Lux,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000185482.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Magical Orchid Body Wash 250Ml   ,Lux,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158376.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Soft Rose Body Wash 250Ml   ,Lux,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158372.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Nexton 3In1 Baby Hair & Body Wash 250Ml,Nexton,715.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000676250.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Nexton 3In1 Baby Hair & Body Wash 125Ml,Nexton,445.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000676277.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Aqua Sparkle Body Wash 250Ml,Lux,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000182882.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,body wash,Lux Bouncy Glow Bodywash 190Ml ,Lux,449.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008115053.jpg,,2026-03-09T03:11:15.003003
Chase Up,Hyderabad,"Breads, Rusk & Eggs",Dawn Fortified Bread Large,Dawn,199.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287904.jpg,,2026-03-08T20:32:05.692266
Chase Up,Hyderabad,"Breads, Rusk & Eggs",Dawn Fortified Bread Small,Dawn,99.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287905.jpg,,2026-03-08T20:32:05.692266
Chase Up,Hyderabad,"Breads, Rusk & Eggs",Dawn Rusk,Dawn,140.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287303.jpg,,2026-03-08T20:32:05.692266
Chase Up,Hyderabad,"Breads, Rusk & Eggs",Bake Parlor Burger Bun 4Pcs,BREAKFAST,105.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000288222.jpg,,2026-03-08T20:32:05.692266
Chase Up,Hyderabad,bread,Mon Salwa Breaded Fish Fillet300Gm,Mon,745.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287227.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Dashi Bread Crumbs 200Gm,Dashi,145.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000671617.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Italiano Special Bread Crumbsbox 200Gm,Italiano,215.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000295119.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Italiano Spiced Bread Crumbs Box 170Gm,Italiano,280.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296198.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Prime Crispy Bread Crumbs Pouch 400Gm,Prime,220.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000354799.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Prime Crispy Bread Crumbs Pouch 200Gm,Prime,115.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000354798.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bread,Prime Crispy Bread Crumbs Pouch 800Gm,Prime,430.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000354800.jpg,,2026-03-09T03:00:16.750649
Chase Up,Hyderabad,bun,Rose Petal Maxob Toilet Roll Bundle Pack 3+1 Free,Rose Petal,340.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000617649.jpg,,2026-03-09T03:00:29.240435
Chase Up,Hyderabad,bun,Rose Petal Pop Up Bundle Tissue Box Promo Pack 3+1   ,Rose Petal,685.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008153582.jpg,,2026-03-09T03:00:29.241203
Chase Up,Hyderabad,burger,Menu Chicken Burger Patties Poly Bag 888Gm,Menu,858.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008051828.jpg,,2026-03-09T03:08:45.805664
Chase Up,Hyderabad,burger,Big Bird Spicy Burger Patties 280Gm   ,Big Bird,393.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008240428.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Big Bird Classic Burger Patties 960Gm   ,Big Bird,1132.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008240425.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Pk Home Style Zinger Burger Patty 4Pcs,Pk,860.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028759.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,K&Ns Chicken Burger Patties 400Gm,K&Ns,540.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287537.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Pk Spring Crispy Chicken Burger 900Gm,Pk,889.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000447268.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Menu Chicken Burger Patties 355Gm,Menu,443.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000294689.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,K&Ns Chicken Burger Patties 1070Gm 16Pcs,K&Ns,1360.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287538.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Dawn Chicken Burger Patties 992Gm 16Pcs,Dawn,1136.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000291305.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Mon Salwa Crispy Chicken Burger Patties Poly Bag 990Gm,Mon,879.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000298681.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Pk Chicken Burger 1Kg,Pk,1098.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290642.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Mon Salwa Juicy Chicken Burger9Pcs,Mon,452.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000455739.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Dawn Chicken Burger Paties Poly Bag,Dawn,1722.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000777222.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Menu Chicken Burger Patties 1075Gm,Menu,1224.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000294690.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Mon Salwa Crispy Chicken Burger 18Pcs,Mon,1167.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287226.jpg,,2026-03-09T03:08:45.806384
Chase Up,Hyderabad,burger,Mon Salwa Vege Burger Patties10Pcs,Mon,392.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000619684.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,burger,Pk Beef Burger 1Kg,Pk,1199.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000293146-189.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,burger,Pk Chicken Burger 1Kg,Pk,1173.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290642-189.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,burger,Pk Spring Crispy Chicken Burger 900Gm,Pk,949.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000447268-189.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,burger,Pk Home Style Zinger Burger Patty 8Pcs,Pk,1730.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028649-189.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,burger,Pk Home Style Zinger Burger Patty 4Pcs,Pk,895.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008028759-189.jpg,,2026-03-09T03:08:45.806975
Chase Up,Hyderabad,butter,Innovative Butter Crunch Biscuit H/R Rs 40,Innovative,232.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008039352.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Butterfly Maxi Thick Cotton Napkin Long 30Pcs,Butterfly,845.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008112796.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Butterfly Ultra Thin Dry Meshnapkin Large 8Pcs,Butterfly,285.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000207859.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Shan Chicken Butter Masala 50Gm,Shan,125.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286405.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Kernal Pop English Butter Popcorn 90Gm Single,Kernal Pop,159.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008067058.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Kernal Pop English Butter Popcorn 80Gm Single,Kernal Pop,101.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008117669.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Kernal Pop Coated Peanut Butter Popcorn 50Gm   ,Kernal Pop,99.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008176866.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Mywrap Butter Wrapping Sheet 24Pcs,Mywrap,330.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000590908.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Candyland Butter Scotch Candy Pouch 25Pcs   ,Candyland,110.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008186110.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Butterfly Maxi Thick Cotton Napkin Extra Long 28Pcs ,Butterfly,845.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008139143.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Innovative Short Bread Butter Cookies Rs 100   ,Innovative,95.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008206012.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Pf Butter Puff Original Crackers Snack Pack Rs 20,Peek Freans,19.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000675310.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Innovative Butter Crunch Biscuit H/R Rs 30,Innovative,29.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008039349.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Adams Salted Butter 200Gm,Adams,655.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000291566.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Lurpak Spreadable Lighter Salted Butter 250Gm,Lurpak,1398.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000288024.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Lurpak Spreadable Salted Butter 250Gm,Lurpak,1398.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000288023.jpg,,2026-03-09T02:59:34.477162
Chase Up,Hyderabad,butter,Lurpak Unsalted Butter 200Gm,Lurpak,1270.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287669.jpg,,2026-03-09T02:59:34.477162
