store_name,city,category,product_name,brand,price,quantity,unit,image_url,product_url,scraped_at
Chase Up,Karachi Abbasi Shaheed Road,atta,Shahi Nimko Khatta Meetha Rs.200,Shahi,185.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286683.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,atta,Lattafa Najdia Edp 100Ml,Lattafa,3999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206641.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,atta,Lattafa Pure Musk Edp 100Ml,Lattafa,3499.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206642.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,atta,Lattafa Ejaazi Edp 100Ml,Lattafa,3999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000376656.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,atta,Chaseup Bay Leaf (Tez Patta) 25Gm,Chase Up Originals,25.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287362.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,atta,Lattafa Yara Bodyspray 200Ml,Lattafa,669.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206711.jpg,,2026-03-09T01:55:19.675449
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Soft & Fresh Baby Powder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213606.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Aloe Vera Baby Wipes 80Pcs,Mothercare,309.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210916.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Baby Powder 90Gm,Mothercare,225.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184613.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Go Rash Talcum Babypowder 150Gm,Mothercare,375.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210645.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Natural & Mild Babypowder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184611.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Zozo Baby Bath & Shower Gel 215Ml,Mothercare,459.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000637885.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Soft & Fresh Baby Powder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213607.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Natural & Mild Babypowder 385Gm,Mothercare,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184610.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Go Rash Baby Rash Cream 65Gm,Mothercare,315.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210638.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Go Rash Talcum Babypowder 250Gm,Mothercare,455.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210646.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Natural & Mild Babypowder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184612.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Canbebe Primary Care Baby Wipes 56Pcs,Canbebe,345.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000205493.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,baby care,Mothercare Soft & Fresh Baby Powder 385Gm,Mothercare,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213608.jpg,,2026-03-09T02:06:34.345322
Chase Up,Karachi Abbasi Shaheed Road,Bed Sheets,Printed 3 Piece Bedsheet Sets Double Queen (90 x 90 Inches),Chase Up,1378.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000798805-MaroonQueen.jpg,,2026-03-08T20:30:37.022875
Chase Up,Karachi Abbasi Shaheed Road,Bed Sheets, Printed 2 Piece Bedsheet Sets Single Full (57 x 90 Inches),Chase Up,1263.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000800240-MintGreenSingle.jpg,,2026-03-08T20:30:37.022875
Chase Up,Karachi Abbasi Shaheed Road,Bed Sheets,Printed 3 Piece Bedsheet Sets Double Full (90 x 98 Inches),Chase Up,2068.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000800350-MintGreen.jpg,,2026-03-08T20:30:37.022875
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Seekh Kabab 18Pcs,Pk,1052.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296111.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Chapli Kabab 1050Gm,Pk,1342.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290629.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Knorr Spicy Beef Noodles 110Gm   ,Knorr,150.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008221594.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Kofta 500Gm,Pk,811.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Chapli Kabab 1050Gm,Pk,1417.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290629-189.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Kofta 500Gm,Pk,886.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635-189.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Seekh Kabab 18Pcs,Pk,1127.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296111-189.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,beef,Pk Beef Shami Kabab 17Pcs,Pk,1063.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296107-189.jpg,,2026-03-09T02:02:30.129319
Chase Up,Karachi Abbasi Shaheed Road,biscuits,Pf Chocolate Sandwich Biscuitsnack Pack Rs.20,Peek Freans,19.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000294917.jpg,,2026-03-09T01:58:00.141478
Chase Up,Karachi Abbasi Shaheed Road,biscuits,Weetabix Original Biscuits Cereal 430Gm 24Pcs,Weetabix,1799.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286414.jpg,,2026-03-09T01:58:00.141478
Chase Up,Karachi Abbasi Shaheed Road,body wash,Lux Velvet Touch Body Wash 250Ml,Lux,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000185484.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Lux Soft Rose Body Wash 550Ml   ,BATH CARE,502.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158373.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Lux Magical Orchid Body Wash 550Ml   ,BATH CARE,504.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008158377.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Esfolio Avocado Body Wash 500Ml   ,Esfolio,1399.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008275976.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Esfolio Aloe Vera Soothing Body Wash 500Ml   ,Esfolio,1449.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008275974.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Dove Sensitive Skin  Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151782.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Dove Go Fresh Fresh Touch Body Wash 550Ml   ,Dove,1299.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008151783.jpg,,2026-03-09T02:03:29.723315
Chase Up,Karachi Abbasi Shaheed Road,body wash,Lux Peachy Glow Body Wash 450Ml   ,Lux,999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008182067.jpg,,2026-03-09T02:03:29.723315
