store_name,city,category,product_name,brand,price,quantity,unit,image_url,product_url,scraped_at
Chase Up,Multan,atta,Shahi Nimko Khatta Meetha Rs.200,Shahi,185.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000286683.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Najdia Edp 100Ml,Lattafa,3999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206641.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Pure Oudi Edp 100Ml,Lattafa,3499.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000203690.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Pure Musk Edp 100Ml,Lattafa,3499.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206642.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Oud Mood Golden Edp 100Ml,Lattafa,4999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213310.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Ejaazi Edp 100Ml,Lattafa,3999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000376656.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Ameer Al Oudh Intense Oud Edp 100Ml   ,Lattafa,4999.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008230874.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Chaseup Bay Leaf (Tez Patta) 25Gm,Chase Up Originals,25.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000287362.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,atta,Lattafa Yara Bodyspray 200Ml,Lattafa,669.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000206711.jpg,,2026-03-09T02:28:52.424618
Chase Up,Multan,baby care,Mothercare Soft & Fresh Baby Powder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213606.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Aloe Vera Baby Wipes 80Pcs,Mothercare,309.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210916.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Baby Powder 90Gm,Mothercare,225.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184613.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Go Rash Talcum Babypowder 150Gm,Mothercare,375.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210645.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Natural & Mild Babypowder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184611.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Zozo Baby Bath & Shower Gel 215Ml,Mothercare,459.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000637885.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Soft & Fresh Baby Powder 215Gm,Mothercare,379.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213607.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Go Rash Talcum Babypowder 250Gm,Mothercare,455.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210646.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Go Rash Baby Rash Cream 65Gm,Mothercare,315.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000210638.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Canbebe Primary Care Baby Wipes 56Pcs,Canbebe,345.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000205493.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Natural & Mild Babypowder 130Gm,Mothercare,289.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000184612.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,baby care,Mothercare Soft & Fresh Baby Powder 385Gm,Mothercare,525.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000213608.jpg,,2026-03-09T02:40:02.340403
Chase Up,Multan,beef,Pk Beef Seekh Kabab 18Pcs,Pk,1052.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000296111.jpg,,2026-03-09T02:35:53.003478
Chase Up,Multan,beef,Pk Beef Chapli Kabab 1050Gm,Pk,1342.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290629.jpg,,2026-03-09T02:35:53.003478
Chase Up,Multan,beef,Knorr Spicy Beef Noodles 110Gm   ,Knorr,150.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/10000008221594.jpg,,2026-03-09T02:35:53.003478
Chase Up,Multan,beef,Pk Beef Kofta 500Gm,Pk,811.0,,,https://g-cdn.blinkco.io/ordering-system/55525/gallery/1000000290635.jpg,,2026-03-09T02:35:53.003478
